"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","trial_type","trial_index","time_elapsed","internal_node_id","sona_ID","random_ID","initials","age","gender","resp_confidence","rt_confidence","sat_CB","pc_info","condition","direction","coherence_level","event","trial","block","phase","screen_resolution","window_resolution","focus","rt_confirm"
"397.42000000114786","84","true","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.358124999896972","[8.519999995769467,20.58499999839114,13.525000002118759,16.654999999445863,16.67499999894062,16.660000001138542,16.240000004472677,16.714999997930136,16.60000000265427,16.734999997424893,16.83999999659136,16.775000003690366,16.694999998435378,16.690000004018657,16.704999994544778,16.640000001643784,16.714999997930136,16.660000001138542,16.75000000250293,16.45999999891501,16.790000001492444,16.6899999967427,16.755000004195608,16.51999999739928]","24","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","36","52208","0.0-4.0-1.0-1.10","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","11","1","training_1","1280 x 720","1280 x 578","true",""
"530.3199999980279","84","true","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.78064516125878","[20.020000003569294,16.67999999335734,16.675000006216578,16.869999999471474,16.409999996540137,16.694999998435378,16.775000003690366,16.770000001997687,16.659999993862584,16.580000003159512,16.709999996237457,16.790000001492444,16.45999999891501,16.755000004195608,16.75499999691965,16.615000000456348,16.714999997930136,16.465000000607688,16.755000004195608,16.664999995555263,16.340000001946464,16.800000004877802,16.954999999143183,16.664999995555263,16.495000003487803,16.799999997601844,16.685000002325978,16.739999999117572,16.669999997247942,16.575000001466833,16.654999999445863]","31","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","39","54746","0.0-4.0-1.0-1.11","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","12","1","training_1","1280 x 720","1280 x 578","true",""
"527.2649999969872","84","true","e,t","t","5000","true","1","50","1","0","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.73177419363656","[18.25500000268221,16.67499999894062,16.835000002174638,16.704999994544778,16.675000006216578,16.814999995403923,16.345000003639143,17.034999997122213,16.305000004649628,16.90999999846099,16.714999997930136,16.730000003008172,16.499999997904524,16.869999999471474,16.264999998384155,18.11499999894295,15.340000005380716,17.14499999798136,16.320000002451707,16.709999996237457,16.495000003487803,16.544999998586718,16.98999999644002,17.4299999998766,16.029999998863786,16.29500000126427,16.739999999117572,16.945000003033783,16.569999999774154,16.555000001972076,16.82499999878928]","31","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","45","62112","0.0-6.0-1.0-1.0","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.2","rdk","1","1","training_2","1280 x 720","1280 x 578","true",""
"515.785000003234","69","true","e,t","e","5000","true","1","50","1","180","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","17.203103448113765","[32.31999999843538,16.694999998435378,16.634999999951106,16.790000001492444,16.709999996237457,16.634999999951106,16.455000004498288,16.889999998966232,16.685000002325978,15.914999996311963,17.19500000035623,16.30999999906635,16.790000001492444,16.75499999691965,16.840000003867317,17.099999997299165,15.005000001110602,17.50999999785563,17.019999999320135,16.770000001997687,16.535000002477318,16.725000001315493,16.649999997753184,16.685000002325978,16.694999998435378,16.43999999942025,16.60499999707099,17.110000000684522,16.419999999925494]","29","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","48","64636","0.0-6.0-1.0-1.1","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.2","rdk","2","1","training_2","1280 x 720","1280 x 578","true",""
"557.6549999968847","84","true","e,t","t","5000","true","1","50","1","0","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.408030303092815","[8.075000005192123,16.784999999799766,16.60499999707099,16.75499999691965,16.770000001997687,16.51500000298256,16.61999999487307,17.79000000533415,15.824999994947575,18.750000002910383,14.615000000048894,16.275000001769513,16.924999996263068,16.340000001946464,17.480000002251472,16.324999996868428,16.14500000141561,16.960000000835862,16.739999999117572,16.385000002628658,16.869999999471474,16.409999996540137,16.66500000283122,18.059999994875398,16.89000000624219,15.464999996765982,17.905000000610016,16.024999997171108,15.570000003208406,16.67499999894062,16.340000001946464,17.159999995783437,16.75000000250293]","33","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","51","67203","0.0-6.0-1.0-1.2","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.2","rdk","3","1","training_2","1280 x 720","1280 x 578","true",""
"506.7249999992782","69","true","e,t","e","5000","true","1","50","1","180","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.405500000109896","[8.659999999508727,17.005000001518056,16.479999998409767,16.804999999294523,16.465000000607688,16.755000004195608,16.644999996060506,16.685000002325978,16.649999997753184,16.52499999909196,16.67499999894062,16.784999999799766,16.58500000485219,16.700000000128057,16.6899999967427,16.719999999622814,16.75000000250293,16.734999997424893,16.23000000108732,16.714999997930136,16.810000000987202,16.755000004195608,16.61999999487307,16.74000000639353,17.529999997350387,15.935000003082678,16.629999998258427,16.719999999622814,16.620000002149027,16.544999998586718]","30","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","54","69717","0.0-6.0-1.0-1.3","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.2","rdk","4","1","training_2","1280 x 720","1280 x 578","true",""
"601.0049999968032","84","false","e,t","e","5000","true","1","50","1","180","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.452916666619583","[8.675000004586764,16.924999996263068,16.700000000128057,16.640000001643784,16.779999998107087,16.569999999774154,16.719999999622814,16.620000002149027,16.644999996060506,16.6700000045239,16.6800000006333,16.660000001138542,16.68499999505002,16.470000002300367,16.844999998284038,16.6800000006333,16.67499999894062,16.634999999951106,16.739999999117572,16.630000005534384,16.669999997247942,16.66500000283122,16.664999995555263,16.605000004346948,16.789999994216487,16.60000000265427,16.564999998081475,16.730000003008172,16.634999999951106,16.60000000265427,16.644999996060506,16.74500000081025,16.810000000987202,16.559999996388797,16.910000005736947,16.46499999333173]","36","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","57","72328","0.0-6.0-1.0-1.4","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.2","rdk","5","1","training_2","1280 x 720","1280 x 578","true",""
"1041.5350000039325","69","true","e,t","e","5000","true","1","50","1","180","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.737741935479967","[21.014999998442363,16.544999998586718,16.835000002174638,16.75000000250293,16.559999996388797,16.719999999622814,16.540000004169997,16.804999999294523,16.729999995732214,16.504999999597203,16.650000005029142,16.719999999622814,16.779999998107087,16.51999999739928,16.690000004018657,16.23499999550404,16.845000005559996,18.04499999707332,15.764999996463303,16.475000003993046,16.779999998107087,16.700000000128057,16.540000004169997,16.75999999861233,16.649999997753184,16.67499999894062,16.60999999876367,16.730000003008172,16.569999999774154,16.60000000265427,16.739999999117572,16.83999999659136,16.490000001795124,16.615000000456348,16.700000000128057,16.74500000081025,17.88999999553198,15.370000000984874,16.74500000081025,16.52499999909196,16.780000005383044,16.644999996060506,16.569999999774154,16.6800000006333,16.83999999659136,16.570000007050112,16.744999993534293,16.535000002477318,16.625000003841706,16.864999997778796,16.714999997930136,16.479999998409767,17.525000002933666,16.109999996842816,16.390000004321337,16.59500000096159,16.864999997778796,16.414999998232815,16.82000000437256,16.749999995226972,16.66500000283122,16.550000000279397]","62","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","60","74441","0.0-6.0-1.0-1.5","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.2","rdk","6","1","training_2","1280 x 720","1280 x 578","true",""
"618.9149999991059","84","true","e,t","t","5000","true","1","50","1","0","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.75624999997025","[19.82999999745516,16.569999999774154,16.66500000283122,16.554999994696118,16.625000003841706,16.844999998284038,16.67499999894062,16.690000004018657,16.564999998081475,16.844999998284038,16.615000000456348,16.645000003336463,16.694999998435378,16.640000001643784,16.6800000006333,16.714999997930136,16.75000000250293,16.569999999774154,16.594999993685633,16.500000005180482,16.819999997096602,16.75999999861233,16.625000003841706,16.700000000128057,16.714999997930136,16.725000001315493,16.414999998232815,16.730000003008172,16.640000001643784,16.819999997096602,16.75000000250293,16.485000000102445,16.704999994544778,16.58500000485219,16.694999998435378,16.784999999799766]","36","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","63","77069","0.0-6.0-1.0-1.6","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.2","rdk","7","1","training_2","1280 x 720","1280 x 578","true",""
"535.5899999995017","84","true","e,t","t","5000","true","1","50","1","0","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.43703125000684","[8.755000002565794,17.234999999345746,16.270000000076834,16.669999997247942,16.610000006039627,16.894999993382953,16.400000000430737,16.990000003715977,16.714999997930136,16.45000000280561,16.869999999471474,16.669999997247942,16.45000000280561,16.664999995555263,16.990000003715977,16.479999998409767,16.589999999268912,16.605000004346948,16.949999997450504,16.45999999891501,16.43999999942025,16.580000003159512,16.884999997273553,16.82000000437256,16.929999997955747,16.235000002779998,17.14499999798136,16.620000002149027,16.324999996868428,16.734999997424893,16.52499999909196,17.025000001012813]","32","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","66","79613","0.0-6.0-1.0-1.7","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.2","rdk","8","1","training_2","1280 x 720","1280 x 578","true",""
"507.9600000026403","69","true","e,t","e","5000","true","1","50","1","180","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.62999999995615","[15.780000001541339,16.779999998107087,16.499999997904524,16.725000001315493,16.784999999799766,17.599999999220017,15.820000000530854,16.649999997753184,18.1700000030105,15.265000001818407,16.465000000607688,16.709999996237457,16.52499999909196,16.845000005559996,16.559999996388797,16.725000001315493,16.709999996237457,16.400000000430737,17.12000000406988,16.584999997576233,15.890000002400484,16.749999995226972,17.13500000187196,16.504999999597203,16.719999999622814,16.694999998435378,16.710000003513414,16.649999997753184,16.795000003185123,16.329999998561107]","30","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","69","82128","0.0-6.0-1.0-1.8","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.2","rdk","9","1","training_2","1280 x 720","1280 x 578","true",""
"816.3649999987683","69","true","e,t","e","5000","true","1","50","1","180","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.604387755084034","[15.040000005683396,16.75499999691965,16.38999999704538,17.04000000609085,16.594999993685633,17.685000006167684,17.229999997653067,15.045000000100117,16.44999999552965,16.760000005888287,16.584999997576233,17.56500000192318,15.899999998509884,16.474999996717088,16.695000005711336,16.61999999487307,16.654999999445863,16.760000005888287,16.624999996565748,17.80999999755295,15.905000000202563,16.255000002274755,18.040000002656598,15.979999996488914,17.599999999220017,16.040000002249144,15.715000001364388,16.559999996388797,16.615000000456348,16.765000000305008,16.620000002149027,17.57499999803258,15.950000000884756,16.479999998409767,16.6800000006333,16.649999997753184,16.695000005711336,16.67499999894062,16.899999995075632,16.330000005837064,16.804999999294523,16.615000000456348,16.61999999487307,17.250000004423782,16.465000000607688,16.36000000144122,16.729999995732214,16.654999999445863,15.40499999828171]","49","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","72","84954","0.0-6.0-1.0-1.9","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.2","rdk","10","1","training_2","1280 x 720","1280 x 578","true",""
"707.8850000034436","84","true","e,t","t","5000","true","1","50","1","0","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.456547619045956","[7.485000001906883,16.91500000015367,16.960000000835862,16.339999994670507,16.700000000128057,16.82499999878928,16.620000002149027,16.705000001820736,16.66500000283122,16.60999999876367,16.584999997576233,16.474999996717088,16.470000002300367,16.564999998081475,17.21499999985099,16.845000005559996,16.664999995555263,16.620000002149027,16.629999998258427,16.560000003664754,16.719999999622814,16.654999999445863,16.91500000015367,16.38999999704538,16.780000005383044,16.879999995580874,16.270000000076834,16.615000000456348,16.884999997273553,16.565000005357433,16.90999999846099,16.784999999799766,16.555000001972076,16.45499999722233,17.019999999320135,16.255000002274755,16.814999995403923,16.535000002477318,16.75999999861233,16.930000005231705,16.414999998232815,16.60999999876367]","42","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","75","87670","0.0-6.0-1.0-1.10","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.2","rdk","11","1","training_2","1280 x 720","1280 x 578","true",""
"713.4599999990314","84","true","e,t","t","5000","true","1","50","1","0","0.2","0","2","5","1.9692307692307693","231.2","231.2","white","black","5","1","1","16.40383720934001","[4.0650000009918585,17.799999994167592,16.630000005534384,16.719999999622814,18.884999997681007,14.165000000502914,17.005000001518056,16.53999999689404,16.615000000456348,16.83000000048196,16.51500000298256,16.584999997576233,16.864999997778796,16.90500000404427,16.45499999722233,16.51999999739928,16.630000005534384,17.864999994344544,15.510000004724134,16.67499999894062,16.855000001669396,16.649999997753184,16.504999999597203,16.66500000283122,16.82499999878928,16.575000001466833,16.784999999799766,16.669999997247942,18.10000000114087,15.375000002677552,16.37999999366002,16.610000006039627,16.53499999520136,17.21499999985099,16.105000002426095,16.89500000065891,16.419999999925494,17.07499999611173,16.340000001946464,16.694999998435378,16.784999999799766,16.555000001972076,16.97000000422122]","43","640","289","false","20","20","black","1","false","1","1","1280","578","rdk","78","90395","0.0-6.0-1.0-1.11","","ocqlra","KD","","","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.2","rdk","12","1","training_2","1280 x 720","1280 x 578","true",""
