"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","trial_type","trial_index","time_elapsed","internal_node_id","sona_ID","random_ID","initials","age","gender","resp_confidence","rt_confidence","confidence_CB","sat_CB","pc_info","condition","direction","coherence_level","event","trial","block","phase","screen_resolution","window_resolution","focus"
"237.07500007003546","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.11321429455919","[9.13999998010695,16.685000155121088,16.439999919384718,16.774999909102917,16.685000155121088,16.559999901801348,16.765000065788627,16.730000032112002,16.659999964758754,16.675000078976154,16.66500000283122,16.4899998344481,16.59000013023615,16.724999994039536]","14","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","39","244100","0.0-4.0-1.0-1.11","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","12","1","training_1","1536 x 864","1396 x 686","true"
"198.68999999016523","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.567916678264737","[3.475000150501728,16.694999998435378,16.60999981686473,16.56000013463199,16.820000018924475,16.534999944269657,16.659999964758754,16.835000133141875,16.59999997355044,16.534999944269657,16.83499990031123,16.65500015951693]","12","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","44","246467","0.0-4.1-1.1-1.12","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","1","2","training_1","1536 x 864","1396 x 686","true"
"202.65999995172024","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.419999999925494","[13.675000052899122,16.745000146329403,16.474999953061342,16.76000002771616,16.74499991349876,16.654999926686287,16.740000108256936,16.474999953061342,16.71000011265278,16.8399999383837,16.654999926686287,16.564999939873815]","12","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","47","247327","0.0-4.1-1.1-1.13","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","2","2","training_1","1536 x 864","1396 x 686","true"
"186.67999980971217","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.8359091039747","[18.635000102221966,16.56999997794628,16.66500000283122,16.694999998435378,16.629999969154596,16.659999964758754,16.83000009506941,16.700000036507845,17.21499999985099,15.954999951645732,16.64000004529953]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","50","248223","0.0-4.1-1.1-1.14","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","3","2","training_1","1536 x 864","1396 x 686","true"
"183.90499986708164","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.602272739295255","[15.85500012151897,16.8399999383837,16.694999998435378,16.5049999486655,16.605000011622906,16.68999996036291,16.625000163912773,16.684999922290444,16.740000108256936,16.58499985933304,16.80000009946525]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","53","249140","0.0-4.1-1.1-1.15","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","4","2","training_1","1536 x 864","1396 x 686","true"
"186.04500009678304","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.646818199787628","[5.585000151768327,16.589999897405505,16.629999969154596,16.71000011265278,16.714999917894602,16.419999999925494,16.71999995596707,16.675000078976154,16.650000121444464,16.71999995596707,16.700000036507845]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","56","250069","0.0-4.1-1.1-1.16","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","5","2","training_1","1536 x 864","1396 x 686","true"
"197.03499996103346","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","18.317500012926757","[33.245000056922436,16.47000014781952,16.67499984614551,16.814999980852008,17.699999967589974,15.700000105425715,16.610000049695373,16.550000058487058,16.76999987103045,16.64000004529953]","10","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","59","251019","0.0-4.1-1.1-1.17","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","6","2","training_1","1536 x 864","1396 x 686","true"
"217.8250001743436","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.761923080740067","[4.7599999234080315,16.805000137537718,16.739999875426292,16.5200000628829,16.659999964758754,16.83000009506941,16.62499993108213,16.539999982342124,16.714999917894602,16.715000150725245,16.68999996036291,16.55499986372888,16.75000018440187]","13","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","62","252101","0.0-4.1-1.1-1.18","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","7","2","training_1","1536 x 864","1396 x 686","true"
"234.62000000290573","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","17.927692307589147","[33.12999987974763,16.675000078976154,16.539999982342124,16.820000018924475,16.444999957457185,16.61500008776784,16.754999989643693,16.814999980852008,16.594999935477972,16.670000040903687,16.54500002041459,16.670000040903687,16.78499998524785]","13","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","65","253223","0.0-4.1-1.1-1.19","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","8","2","training_1","1536 x 864","1396 x 686","true"
"241.15999997593462","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.087499995982007","[8.40499997138977,16.684999922290444,16.5200000628829,16.76000002771616,16.80999994277954,16.539999982342124,16.49500010535121,16.790000023320317,16.829999862238765,16.56000013463199,16.79499982856214,16.500000143423676,16.844999976456165,16.68999996036291]","14","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","68","254388","0.0-4.1-1.1-1.20","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","9","2","training_1","1536 x 864","1396 x 686","true"
"255.4099999833852","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.867499998421408","[3.619999857619405,16.820000018924475,16.66500000283122,16.77500014193356,16.62499993108213,16.465000109747052,16.934999963268638,16.610000049695373,16.704999841749668,16.59000013023615,16.74499991349876,16.619999893009663,16.555000096559525,16.795000061392784,16.534999944269657,16.820000018924475]","16","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","71","255407","0.0-4.1-1.1-1.21","","dqgtcj","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","10","2","training_1","1536 x 864","1396 x 686","true"
